[2024-08-18 19:27:23,151: INFO: main: Welcome to cnn clasifier!]
[2024-08-19 19:32:50,579: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-19 19:32:50,589: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-19 19:32:50,591: INFO: common: created directory at: artifacts]
[2024-08-19 19:32:50,592: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-19 19:32:50,595: INFO: 1527662957: Downloading data from https://drive.google.com/file/d/1yCTPHWKF7Di7OzWefw26vvu0LYpcVn4i/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-19 19:33:06,521: INFO: 1527662957: Downloaded data from https://drive.google.com/file/d/1yCTPHWKF7Di7OzWefw26vvu0LYpcVn4i/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-19 19:50:04,355: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-19 19:50:04,356: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-19 19:50:04,359: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-19 19:50:04,359: INFO: common: created directory at: artifacts]
[2024-08-19 19:50:04,360: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-19 19:50:04,360: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1yCTPHWKF7Di7OzWefw26vvu0LYpcVn4i/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-19 19:50:20,021: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1yCTPHWKF7Di7OzWefw26vvu0LYpcVn4i/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-19 19:50:20,538: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-08-19 22:17:40,537: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-19 22:17:40,600: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-19 22:17:40,603: INFO: common: created directory at: artifacts]
[2024-08-19 22:17:40,603: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-19 22:17:56,646: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2024-08-19 22:17:57,007: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2024-08-19 22:26:39,555: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-19 22:26:39,555: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-19 22:26:39,564: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-19 22:26:39,564: INFO: common: created directory at: artifacts]
[2024-08-19 22:26:39,564: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-19 22:26:39,564: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1yCTPHWKF7Di7OzWefw26vvu0LYpcVn4i/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-19 22:26:55,459: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1yCTPHWKF7Di7OzWefw26vvu0LYpcVn4i/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-19 22:26:56,066: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-08-19 22:29:30,897: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-19 22:29:30,897: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-19 22:29:30,904: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-19 22:29:30,904: INFO: common: created directory at: artifacts]
[2024-08-19 22:29:30,904: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-19 22:29:30,904: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1yCTPHWKF7Di7OzWefw26vvu0LYpcVn4i/view?usp=sharing into file artifacts/data_ingestion/data.zip]
